Medicine_Name,Active_Substance
Vaxzevria (previously COVID-19 Vaccine AstraZeneca),ChAdOx1-SARS-COV-2
Tremelimumab AstraZeneca,tremelimumab
Rilutek,riluzole
Oprymea,pramipexole dihydrochloride monohydrate
Myozyme,alglucosidase alfa
Lymphoseek,tilmanocept
Intelence,Etravirine
Fasturtec,rasburicase
Tizveni,tislelizumab
Evicel,human fibrinogen;human thrombin
Mozobil,Plerixafor
Taxotere,docetaxel
VidPrevtyn Beta,"SARS-CoV-2 prefusion Spike delta TM protein, recombinant (B.1.351 strain)"
Upstelda,ustekinumab
Pemetrexed Krka,pemetrexed disodium
Fareston,toremifene
Suboxone,buprenorphine;naloxone
Prezista,darunavir
Symtuza,darunavir;cobicistat;emtricitabine;tenofovir alafenamide
Nulibry,fosdenopterin hydrobromide dihydrate
Entecavir Accord,Entecavir
DuoResp Spiromax,Budesonide;formoterol fumarate dihydrate
BiResp Spiromax,Budesonide;formoterol fumarate dihydrate
Evoltra,clofarabine
Byannli (previously Paliperidone Janssen-Cilag International),paliperidone palmitate
Trevicta (previously Paliperidone Janssen),paliperidone palmitate
Xeplion,paliperidone palmitate
Luveris,lutropin alfa
DuoPlavin,clopidogrel;acetylsalicylic acid
Agilus,"dantrolene sodium, hemiheptahydrate"
Palynziq,pegvaliase
Invega,paliperidone
Pixuvri,pixantrone dimaleate
Zevalin,ibritumomab tiuxetan
Qalsody,tofersen
Duloxetine Lilly,duloxetine
Cymbalta,duloxetine
Yentreve,duloxetine hydrochloride
Sotyktu,deucravacitinib
Palladia,toceranib
Zuprevo,tildipirosin
Ypozane,osaterone acetate
Zactran,gamithromycin
SevoFlo,sevoflurane
Bravecto Plus,fluralaner;moxidectin
Naxcel,ceftiofur
Onsior,robenacoxib
Aservo EquiHaler,ciclesonide
Stronghold,selamectin
Cerenia,maropitant citrate
Mepsevii,vestronidase alfa
Dabigatran etexilate Teva,dabigatran etexilate mesilate
Exzolt,fluralaner
Zolvix,monepantel
Trocoxil,mavacoxib
Evicto,selamectin
Semintra,telmisartan
Apoquel,oclacitinib maleate
Sileo,Dexmedetomidine hydrochloride
Atosiban SUN,atosiban (as acetate)
Lotimax,lotilaner
Lexylan,cefalexin sodium;cefalexin
Trilorale,trilostane
Alcort,hydrocortisone aceponate
Trilocur,trilostane
Bonqat,pregabalin
Recocam,meloxicam
Forceris,toltrazuril;iron (III) ion
Activyl,indoxacarb
Bovilis Blue-8,"bluetongue virus vaccine, serotype 8 (inactivated)"
Advocate,imidacloprid;moxidectin
Suprelorin,deslorelin acetate
Gumbohatch,"live attenuated infectious bursal disease virus (IBDV), strain 1052"
Melovem,meloxicam
Vectra 3D,dinotefuran;pyriproxyfen;permethrin
Simparica Trio,moxidectin;sarolaner;pyrantel embonate
Coxevac,"inactivated Coxiella burnetii vaccine, strain Nine Mile"
Credelio Plus,lotilaner;milbemycin oxime
Simparica,sarolaner
Veltassa,patiromer sorbitex calcium
Improvac,synthetic peptide analogue of GnRF conjugated to diptheria toxoid
Respivac aMPV (previously Respivac TRT),"turkey rhinotracheitis virus, strain 1062, live"
Lamivudine Teva,lamivudine
Parsabiv,etelcalcetide hydrochloride
Mimpara,cinacalcet hydrochloride
Myocet liposomal (previously Myocet),doxorubicin hydrochloride
PecFent,fentanyl
Credelio,lotilaner
Circovac,inactivated porcine circovirus type 2 (PCV2)
Bravecto,fluralaner
Innovax-ND-H5,"turkey herpesvirus, strain HVT-ND-H5 (cell-associated), expressing fusion protein gene of Newcastle disease virus and haemagglutinin gene of Avian influenza virus subtype H5"
Nobilis Multriva RT+IBm+ND+Gm+REOm+EDS,avian metapneumovirus;avian infectious bronchitis;Newcastle disease;avian infectious bursal disease;avian reovirus and egg drop syndrome virus vaccine (inactivated)
Divence Tetra,bovine viral diarrhoea virus type 1 and type 2 (subunit recombinant);bovine parainfluenza 3 virus (inactivated) and bovine respiratory syncytial virus vaccine
Divence Penta,"bovine parainfluenza virus 3, strain SF-4 Reisinger, inactivated;live attenuated bovine respiratory syncytial virus (BRSV), strain Lym-56;bovine viral diarrhoea virus 1, E2 recombinant protein;bovine viral diarrhoea virus 2, E2 recombinant protein;infectious bovine rhinotracheitis virus, strain CEDDEL, gE- tk- double-gene deleted, live"
Enteroporc Coli,Inactivated fimbrial adhesins of Escherichia coli F4ab;Inactivated fimbrial adhesins of Escherichia coli F4ac;Inactivated fimbrial adhesins of Escherichia coli F5;Inactivated fimbrial adhesins of Escherichia coli F6
Meloxoral,meloxicam
Nuceiva,Botulinum toxin type A
Vectormune FP ILT,"recombinant fowlpox virus expressing the membrane fusion protein and the encapsidation protein of avian infectious laryngotracheitis virus, live"
Vyxeos liposomal (previously Vyxeos),daunorubicin hydrochloride;cytarabine
Strangvac,recombinant Streptococcus equi protein CCE;recombinant Streptococcus equi protein Eq85;recombinant Streptococcus equi protein IdeE
Senvelgo,velagliflozin L-proline monohydrate
Loxitab,meloxicam
Eluracat,capromorelin tartrate
Oxmax,Hemoglobin betafumaril (bovine)
Temozolomide Teva,temozolomide
Ghryvelin (previously Macimorelin Aeterna Zentaris),macimorelin acetate
Onglyza,saxagliptin
Plerixafor Accord,Plerixafor
Mirapexin,pramipexole dihydrochloride monohydrate
Pirfenidone axunio (previously Pirfenidone AET),Pirfenidone
Sifrol,pramipexole dihydrochloride monohydrate
Eladynos,abaloparatide
Tessie,
Ranexa (previously Latixa),ranolazine
Lonsurf,trifluridine;tipiracil hydrochloride
Niapelf,paliperidone palmitate
Ertapenem SUN,ertapenem sodium
Nobivac LoVo L4,"Leptospira interrogans, serogroup Australis, serovar Bratislava, strain As-05-073, Inactivated,Leptospira interrogans, serogroup Canicola, serovar Portland-vere, strain Ca-12-000, Inactivated,Leptospira interrogans, serogroup Icterohaemorrhagiae, serovar Copenhageni, strain Ic-02-001, Inactivated,Leptospira kirschneri, serogroup Grippotyphosa, serovar Dadas, strain GR-01-005, Inactivated,"
Bovilis Nasalgen-C,"bovine coronavirus, strain CA25, live"
Bovilis Cryptium,"Cryptosporidium parvum, glycoprotein gp40"
Poulvac Procerta HVT-IBD,"turkey herpes virus, strain HVT-IBD, expressing infectious bursal disease virus VP2 protein, live"
Ximluci,ranibizumab
Clopidogrel ratiopharm,clopidogrel (as hydrogen sulfate)
Cuprior,trientine tetrahydrochloride
Exblifep,cefepime dihydrochloride monohydrate;Enmetazobactam
Vijoice,alpelisib
Sustiva,efavirenz
Pramipexole Accord,pramipexole dihydrochloride monohydrate
Innovax-ILT-IBD,"turkey herpes virus, expressing infectious bursal disease virus and avian infectious laryngotracheitis virus, strain HVT/IBD/ILT, live"
Prevexxion RN+HVT,"Marek’s disease virus, strain RN1250, live;turkey herpesvirus, strain FC126, Live"
Eurican L4,"inactivated immunological veterinary medicinal product containing Leptospira interrogans, serogroup Canicola, serovar Canicola, strain 16070, L. interrogans, serogroup icterohaemorrhagiae, serovar icterohaemorrhagiae, strain 16069, L. interrogans, serogroup Grippotyphosa, serovar Grippotyphosa, strain Grippo Mal 1540, L. interrogans, serogroup Australis, serovar Bratislava, strain"
Yurvac RHD,"rabbit haemorrhagic disease virus, capsid protein antigen, recombinant"
Zalasta,olanzapine
Apealea,paclitaxel
Clopidogrel Teva (hydrogen sulphate),clopidogrel (as hydrogen sulfate)
Fuzeon,enfuvirtide
Ryeqo,relugolix;norethisterone acetate;estradiol hemihydrate
HorStem,equine umbilical cord mesenchymal stem cells
Lonquex,lipegfilgrastim
Mulpleo (previously Lusutrombopag Shionogi),Lusutrombopag
Prolevare,oclacitinib maleate
CircoMax,"recombinant chimeric porcine circovirus 1 containing the porcine circovirus 2a open reading frame 2 protein, inactivated,Recombinant chimeric porcine circovirus 1 containing the porcine circovirus 2b open reading frame 2 protein, inactivated"
Brucellin Aquilon,"Brucella abortus, strain AQ1302, protein extract"
Vectormune ND,
AdTab (previously Lotilaner Elanco),lotilaner
Catiolanze,Latanoprost
Mometamax Ultra,gentamicin;mometasone furoate;posaconazole
Evanovo,"Eimeria acervulina, strain 044, Live;Eimeria maxima, strain 013, Live;Eimeria praecox, strain 007, Live;Eimeria tenella, strain 004, Live"
DogStem,equine umbilical cord-derived mesenchymal stem cells
Cortaderm,hydrocortisone aceponate
Coxatab,firocoxib
Ambirix,hepatitis A virus (inactivated);hepatitis B surface antigen
Sugammadex Lorien,sugammadex sodium
Twinrix Adult,hepatitis A virus (inactivated);hepatitis B surface antigen
Twinrix Paediatric,hepatitis A virus (inactivated);hepatitis B surface antigen
Actraphane,Insulin human
Albrioza,sodium phenylbutyrate;ursodoxicoltaurine
Chanaxin,tulathromycin
Mixtard,Insulin human
Nemdatine,memantine
Tegsedi,inotersen sodium
Intrarosa,prasterone
Flebogamma DIF (previously Flebogammadif),human normal immunoglobulin
Azacitidine betapharm,azacitidine
Dimethyl fumarate Teva,dimethyl fumarate
Dimethyl fumarate Neuraxpharm,dimethyl fumarate
Dimethyl fumarate Accord,dimethyl fumarate
Dimethyl fumarate Polpharma,dimethyl fumarate
Dimethyl fumarate Mylan,dimethyl fumarate
Defitelio,defibrotide
Clopidogrel Taw Pharma (previously Clopidogrel Mylan),clopidogrel hydrochloride
Feraccru,ferric maltol
Dyrupeg,pegfilgrastim
Vantobra (previously Tobramycin PARI),tobramycin
Jesduvroq,daprodustat
Brineura,cerliponase alfa
Ivozall,clofarabine
Amglidia,glibenclamide
Pylobactell,urea (13C)
"COVID-19 Vaccine (inactivated, adjuvanted) Valneva","COVID-19 vaccine (inactivated, adjuvanted, adsorbed)"
Betaferon,interferon beta-1b
Jivadco,trastuzumab duocarmazine
Zynrelef,bupivacaine;meloxicam
Spectrila,asparaginase
Sildenafil Actavis,sildenafil
Gefzuris,gefapixant
Degarelix Accord,degarelix acetate
Lutholaz,pegfilgrastim
Rebetol,ribavirin
CaniLeish,Leishmania infantum excreted secreted proteins
Vivjoa,oteseconazole
Thiotepa Riemser,thiotepa
Imatinib Koanaa,imatinib mesilate
Plenadren,hydrocortisone
Pregabalin Sandoz GmbH,pregabalin
Rekovelle,follitropin delta
Adakveo,Crizanlizumab
Eporatio,epoetin theta
Biopoin,epoetin theta
Vosevi,sofosbuvir;velpatasvir;voxilaprevi
Epclusa,sofosbuvir;velpatasvir
Invirase,saquinavir
Melatonin Neurim,melatonin
Pandemic Influenza Vaccine H5N1 Baxter AG,"influenza vaccine (whole virion, inactivated) containing antigen of: A/Vietnam/1203/2004 (H5N1)"
Tandemact,pioglitazone;glimepiride
Nobivac Myxo-RHD,live myxoma-vectored rabbit-haemorrhagic-disease virus strain 009
Zefylti,filgrastim
NovoMix,insulin aspart
Actos,pioglitazone hydrochloride
Nexpovio,selinexor
Lagevrio,molnupiravir
Lumevoq,lenadogene nolparvovec
Busilvex,busulfan
Sohonos,palovarotene
Vipidia,alogliptin
NutropinAq,somatropin
Susvimo,ranibizumab
Ceprotin,human protein C
Fotivda,tivozanib
Iressa,gefitinib
Feraheme,Ferumoxytol
Lenalidomide Krka d.d.,lenalidomide hydrochloride hydrate
Asimtufii,aripiprazole monohydrate
Aftovaxpur DOE,"Maximum three of the following purified, inactivated foot-and-mouth disease virus strains: O1 Manisa ≥ 6 PD50*; O1 BFS ≥ 6 PD50*; O Taiwan 3/97 ≥ 6 PD50*; A22 Iraq ≥ 6 PD50*; A24 Cruzeiro ≥ 6 PD50*; A Turkey 14/98 ≥ 6 PD50*; Asia 1 Shamir ≥ 6 PD50*; SAT2 Saudi Arabia ≥ 6 PD50*; * PD50 – 50% protective dose in cattle as described in Ph. Eur. monograph 0063."
Luminity,perflutren
Comfortis,spinosad
Tidhesco,Ivosidenib
Nitisinone MDK (previously Nitisinone MendeliKABS),nitisinone
Omblastys,iodine (131I) omburtamab
Nityr,nitisinone
Zoledronic acid Actavis,zoledronic acid monohydrate
Desloratadine Actavis,desloratadine
Pioglitazone Actavis,pioglitazone hydrochloride
Pantozol Control,pantoprazole
Controloc Control,pantoprazole
Somac Control,pantoprazole
Synflorix,Pneumococcal polysaccharide serotype 23F;Pneumococcal polysaccharide serotype 4;Pneumococcal polysaccharide serotype 5;Pneumococcal polysaccharide serotype 6B;Pneumococcal polysaccharide serotype 7F;Pneumococcal polysaccharide serotype 9V;Pneumococcal polysaccharide serotype 1;Pneumococcal polysaccharide serotype 14;Pneumococcal polysaccharide serotype 18C;Pneumococcal polysaccharide serotype 19F
Fendrix,hepatitis B surface antigen
Xenical,orlistat
Pioglitazone Teva,pioglitazone hydrochloride
NeuroBloc,botulinum toxin type B
Stocrin,efavirenz
Raltegravir Viatris,raltegravir potassium
Lamivudine Teva Pharma B.V.,lamivudine
Inpremzia,insulin human (rDNA)
Ceplene,histamine dihydrochloride
Emtriva,emtricitabine
Granpidam,sildenafil citrate
DepoCyte,cytarabine
Dasatinib Accord,dasatinib
Dasatinib Accordpharma,dasatinib
Newflend ND H9,"turkey herpes virus, strain rHVT/ND expressing Newcastle disease virus, live"
Lamivudine/Zidovudine Teva,lamivudine;zidovudine
Vihuma,simoctocog alfa
Nuwiq,simoctocog alfa
Nevirapine Teva,nevirapine
Pregabalin Zentiva k.s.,pregabalin
Temozolomide Sandoz,temozolomide
Hepsera,adefovir dipivoxil
Efavirenz Teva,efavirenz
Kogenate Bayer,octocog alfa
Garsun,artesunate
Temozolomide Hexal,temozolomide
NovoSeven,eptacog alfa (activated)
Aloxi,palonosetron hydrochloride
Vizarsin,sildenafil
Odefsey,emtricitabine;rilpivirine hydrochloride;tenofovir alafenamide
Xagrid,anagrelide
Tybost,cobicistat
Aliqopa,copanlisib dihydrochloride
Hemangiol,propranolol hydrochloride
Miplyffa,arimoclomol citrate
Imbarkyd,Bardoxolone methyl
Darunavir Krka d.d.,darunavir
Febseltiq,Infigratinib monophosphate
Versiguard SARS CoV2,recombinant SARS CoV2 spike protein
Pemetrexed Baxter,pemetrexed disodium heptahydrate
Trogarzo,Ibalizumab
Ammonaps,sodium phenylbutyrate
IntronA,interferon alfa-2b
Hervelous,trastuzumab
Tuznue,trastuzumab
Tookad,padeliporfin di-potassium
Macugen,pegaptanib
Zynteglo,autologous CD34+ cell enriched population that contains haematopoietic stem cells transduced with lentiviral vector encoding the βA-T87Q-globin gene
Cevenfacta,Eptacog beta (activated)
Temybric Ellipta,fluticasone furoate;umeclidinium bromide;vilanterol trifenatate
Exkivity,mobocertinib
Abylqis,arachis hypogaea extract
Sevsury,surufatinib
Neoleish,bacterial DNA plasmid containing LACK gene from Leishmania infantum
Orepaxam,treprostinil diolamine
Parsaclisib Incyte Biosciences Distribution B.V.,Parsaclisib hydrochloride
Dimherity,dimethyl fumarate
Glubrava,metformin hydrochloride;pioglitazone hydrochloride
Glidipion (previously Pioglitazone Actavis Group),pioglitazone hydrochloride
Glustin,pioglitazone hydrochloride
Activyl Tick Plus,indoxacarb;permethrin
Firmagon,degarelix
Nobilis OR Inac,"inactivated whole cell suspension of Ornithobacterium rhinotracheale serotype A, strain B3263/91"
HemAryo,eptacog alfa (activated)
Zalviso,sufentanil
Incresync,alogliptin;pioglitazone
Pioglitazone Teva Pharma,pioglitazone hydrochloride
Epivir,lamivudine
Combivir,lamivudine;zidovudine
Zynquista,sotagliflozin
Thymanax,agomelatine
Aduhelm,aducanumab
Bovilis BTV8,"bluetongue virus vaccine, serotype 8 (inactivated)"
Ganirelix Gedeon Richter,ganirelix acetate
Episalvan,Betulae cortex
Elmiron,pentosan polysulfate sodium
Deferiprone Lipomed,Deferiprone
Crixivan,indinavir sulfate ethanolate
Senstend,lidocaine;prilocaine
Imatinib Actavis,imatinib
Sildenafil Teva,sildenafil
Cuprymina,copper (64Cu) chloride
Memantine ratiopharm,memantine hydrochloride
Starlix,nateglinide
Optison,perflutren
Kiovig,human normal immunoglobulin (IVIg)
Desloratadine ratiopharm,desloratadine
Sildenafil ratiopharm,sildenafil
Sitoiganap,allogeneic glioma tumor cell lysates (inactivated);allogeneic glioma tumor cells (inactivated);autologous glioma tumor cell lysates (inactivated);autologous glioma tumor cells (inactivated)
Desloratadine Teva,desloratadine
Dasselta,desloratadine
Amifampridine SERB,amifampridine phosphate
Ipique,bevacizumab
Neffy,epinephrine
Rasilez HCT,aliskiren;hydrochlorothiazide
Docetaxel Zentiva (previously Docetaxel Winthrop),docetaxel
Pregabalin Mylan Pharma,pregabalin
Zektayos - Hepjuvo,obeticholic acid
Palonosetron Hospira,palonosetron hydrochloride
Dukoral,recombinant cholera toxin B subunit;vibrio cholerae 01
Skysona,elivaldogene autotemcel
Stimufend,pegfilgrastim
Tractocile,atosiban (as acetate)
Temomedac,temozolomide
NovoThirteen,catridecacog
Vivanza,vardenafil
RenuTend,tenogenic primed equine allogeneic peripheral blood-derived mesenchymal stem cells
Leganto,rotigotine
Raylumis,tanezumab
Staquis,Crisaborole
Imoxat,imidacloprid;moxidectin
Atripla,efavirenz;emtricitabine;tenofovir disoproxil fumarate
Nouryant,Istradefylline
Ytracis,yttrium (90Y) chloride
Pantoloc Control,pantoprazole
Beromun,tasonermin
Ebixa,memantine hydrochloride
Hydrocortisone aceponate Ecuphar (previously Cortacare),hydrocortisone aceponate
Livmarli,Maralixibat chloride
Lenalidomide Krka d.d. Novo mesto (previously Lenalidomide Krka),lenalidomide hydrochloride monohydrate
Docetaxel Teva,docetaxel
Marixino (previously Maruxa),memantine hydrochloride
Increxxa,tulathromycin
Flynpovi,eflornithine hydrochloride;sulindac
Zynyz,retifanlimab
Pemetrexed Lilly,pemetrexed
Equidacent,bevacizumab
Coliprotec F4,live non-pathogenic Escherichia coli O8:K87
Zoledronic Acid Hospira,zoledronic acid monohydrate
Telmisartan Teva Pharma,telmisartan
CureVac’s COVID-19 vaccine (CVnCoV),"single-stranded, 5’-capped messenger RNA (mRNA) produced using a cell-free in vitro transcription from the corresponding DNA templates, encoding the viral spike (S) protein of SARS-CoV-2"
Oportuzumab monatox DLRC Pharma Services,oportuzumab monatox
Inductos,dibotermin alfa
Sildenafil FGK,sildenafil citrate
Entacapone Teva,entacapone
Raloxifene Teva,raloxifene hydrochloride
Fiasp,insulin aspart
Telmisartan Teva,telmisartan
Teriparatide Cinnagen,teriparatide
Caspofungin Accord,caspofungin acetate
Porcilis Pesti,Classical Swine Fever Virus (CSFV) -E2 subunit antigen
Ritemvia,rituximab
Lumoxiti,moxetumomab pasudotox
Azacitidine Celgene,azacitidine
Pemetrexed Pfizer (previously Pemetrexed Hospira UK Limited),pemetrexed ditromethamine
Portrazza,necitumumab
Levemir,Insulin detemir
Ulipristal Acetate Gedeon Richter,ulipristal acetate
Ribavirin Teva Pharma B.V.,ribavirin
Ribavirin Teva,ribavirin
Kexxtone,monensin (as monensin sodium)
Nodetrip (previously Xeristar),duloxetine
PegIntron,peginterferon alfa-2b
NovoEight,turoctocog alfa
Spironolactone Ceva,spironolactone
Tibsovo,Ivosidenib
Acticam,meloxicam
Gamifant,emapalumab
Dexamethasone Taw,Dexamethasone (sodium phosphate)
Truberzi,eluxadoline
Lextemy,bevacizumab
Incurin,estriol
Prepandrix,A/Indonesia/05/2005 (H5N1) like strain used (PR8-IBCDC-RG2)
Enzepi,pancreas powder
Udenyca,pegfilgrastim
Proteq West Nile,West Nile recombinant canarypox virus (vCP2017 virus)
Halimatoz,adalimumab
Yttriga,yttrium (90Y) chloride
Clopidogrel ratiopharm GmbH,clopidogrel
Velactis,cabergoline
ViraferonPeg,peginterferon alfa-2b
Qutavina,teriparatide
Puldysa,idebenone;titanium dioxide
Sebivo,telbivudine
Panretin,alitretinoin
Turalio,pexidartinib
Artobend,autologous human chondrocytes in vitro expanded
Alpivab,peramivir
Silapo,epoetin zeta
Zulvac 8 Bovis,"inactivated bluetongue virus, serotype 8, strain btv-8/bel2006/02"
Insulatard,Insulin human
Ribavirin Mylan (previously Ribavirin Three Rivers),ribavirin
Zoledronic acid medac,zoledronic acid monohydrate
Roctavian,valoctocogene roxaparvovec
Vepacel,"Influenza virus (whole virion, inactivated), containing antigen of: A/Vietnam/1203/2004 (H5N1)"
Upkanz,Deferiprone
Protaphane,Insulin human
Abilify MyCite,aripiprazole
Rayoqta,abicipar pegol
Actrapid,human insulin
Zerit,stavudine
Imrestor,pegbovigrastim
Qtrilmet,metformin hydrochloride;saxagliptin;dapagliflozin
CircoMax Myco,"Inactivated Mycoplasma hyopneumoniae, strain P-5722-3;inactivated recombinant chimeric porcine circovirus type 1 containing the porcine circovirus type 2a open reading frame 2 (ORF2) protein;inactivated recombinant chimeric porcine circovirus type 1 containing the porcine circovirus type 2b ORF2 protein"
Sondelbay,teriparatide
Ecoporc Shiga,genetically modified recombinant Shiga-toxin-2e antigen
Visudyne,verteporfin
Xiidra,Lifitegrast
Duzallo,allopurinol;lesinurad
Tulatrixx,tulathromycin
Olazax,olanzapine
Zurampic,lesinurad
Picato,Ingenol mebutate
Doxorubicin Hydrochloride Tillomed,doxorubicin hydrochloride
Kolbam,cholic acid
Zemdri,Plazomicin (sulfate)
Rituximab Mabion,rituximab
Fertavid,follitropin beta
Fingolimod Mylan,fingolimod hydrochloride
Olazax Disperzi,olanzapine
Helixate NexGen,octocog alfa
Erlotinib Accord,
Osseor,strontium ranelate
Vynpenta (previously AvacopanChemoCentryx),avacopan
Protelos,strontium ranelate
Suvaxyn PCV,"porcine circovirus recombinant virus (CPCV) 1-2, inactivated"
Zulvac 1 Ovis,"inactivated bluetongue virus, serotype-1"
Zulvac 1 Bovis,"inactivated bluetongue virus, serotype 1"
Kromeya,adalimumab
Clopidogrel BGR (previously Zylagren),clopidogrel (as hydrogen sulfate)
Ekesivy,diclofenamide
Xiapex,collagenase Clostridium histolyticum
Varuby,rolapitant
Lifmior,etanercept
Iblias,octocog alfa
Nonafact,human coagulation factor IX
Luxceptar,
Zalmoxis,allogeneic T cells genetically modified with a retroviral vector encoding for a truncated form of the human low affinity nerve growth factor receptor (ΔLNGFR) and the herpes simplex I virus thymidine kinase (HSV-TK Mut2)
Xyndari,
Idhifa,
Nuzyra,
Fexeric,ferric citrate coordination complex
Linhaliq,
Aerivio Spiromax,salmeterol xinafoate;fluticasone propionate
Vanflyta,quizartinib dihydrochloride
Clopidogrel/Acetylsalicylic acid Zentiva (previously DuoCover),clopidogrel;acetylsalicylic acid
Thorinane,enoxaparin sodium
Imatinib medac,imatinib
Taxespira (previously Docetaxel Hospira UK Limited ),docetaxel trihydrate
Horse Allo 20,allogeneic equine adipose-derived mesenchymal stem cells
Lartruvo,olaratumab
Daklinza,daclatasvir dihydrochloride
Doxolipad,doxorubicin hydrochloride
Radicava,edaravone
Bovalto Ibraxion,inactivated IBR virus
Cabazitaxel Teva,cabazitaxel
Rituzena (previously Tuxella),rituximab
ATryn,antithrombin alfa
Airexar Spiromax,salmeterol;fluticasone propionate
ABP 710,infliximab
Ingelvac PCV FLEX,porcine circovirus type 2 ORF2 protein
Ketek,telithromycin
Ambrisentan Zentiva,ambrisentan
Arzerra,ofatumumab
Canakinumab Novartis,canakinumab
Parvoduk,live attenuated Muscovy duck parvovirus
Efgratin,pegfilgrastim
Cavoley,pegfilgrastim
Silgard,human papillomavirus type 6 L1 protein;human papillomavirus type 11 L1 protein;human papillomavirus type 16 L1 protein;human papillomavirus type 18 L1 protein
Equitend,
Vantobra,tobramycin
Longrange,eprinomectin
Altargo,retapamulin
Topotecan Actavis,topotecan
Cyltezo,adalimumab
Solymbic,adalimumab
Epjevy,
Eperzan,albiglutide
Eladynos,abaloparatide
Graspa,asparaginase
Lusduna,insulin glargine
Ivabradine JensonR,ivabradine hydrochloride
Fyzoclad,adalimumab
Entolimod TMC,Entolimod
Exondys,eteplirsen
Zoledronic acid Teva Pharma,zoledronic acid
Zydax,
HopGuard Gold,
Trobalt,retigabine
BTVPUR AlSap 2-4,bluetongue-virus serotype-2 antigen;bluetongue-virus serotype-4 antigen
Ionsys,fentanyl hydrochloride
Raplixa,human fibrinogen;human thrombin
Imatinib Teva B.V.,imatinib mesilate
Dexxience,betrixaban maleate
Trifexis,spinosad;milbemycin oxime
Treprostinil SciPharm Sàrl,treprostinil
Angiox,Bivalirudin
Gripovac 3,inactivated influenza-A virus
Intanza,"influenza virus (inactivated, split) of the following strains:A/California/7/2009 (H1N1)pdm09 - like strain (A/California/7/2009, NYMC X-179A)A/Hong Kong/4801/2014 (H3N2) - like strain (A/Hong Kong/4801/2014, NYMC X-263B)B/Brisbane/60/2008 - like strain (B/Brisbane/60/2008, wild type)"
Numient,levodopa;carbidopa
Ariclaim,duloxetine
Restaysis,ciclosporin
Clopidogrel HCS,clopidogrel (as hydrochloride)
Victrelis,Boceprevir
Alsitek,Masitinib mesilate
Raligize,
Certifect,fipronil;amitraz;(S)-methoprene
Xeljanz,tofacitinib
Topotecan Teva,topotecan
Rotigotine Mylan,rotigotine
Maci,autologous cultured chondrocytes
Prohippur,sodium benzoate
Zinbryta,daclizumab
Fulphila,pegfilgrastim
Olysio,simeprevir
BTVPUR AlSap 1,bluetongue-virus serotype-1 antigen
BTVPUR Alsap 8,bluetongue virus serotype 8 antigen
Vibativ,telavancin
Prandin,repaglinide
Insulin Human Winthrop,Insulin human
Panacur AquaSol,fenbendazole
Masipro,Masitinib mesilate
Evarrest,human fibrinogen;human thrombin
IDflu,"influenza virus (inactivated, split) of the following strains:A/California/7/2009 (H1N1)pdm09 - like strain (A/California/7/2009, NYMC X-179A)A/Hong Kong/4801/2014 (H3N2) - like strain (A/Hong Kong/4801/2014, NYMC X-263B)B/Brisbane/60/2008 - like strain (B/Brisbane/60/2008, wild type)"
Balimek,binimetinib
Tasermity,sevelamer hydrochloride
Fanaptum,iloperidone
Ristempa,pegfilgrastim
Infinia,alpha-1-antitrypsin
LeukoScan,sulesomab
Zafiride,
Libertek,roflumilast
Daliresp,roflumilast
Qizenday,
Onzeald,etirinotecan pegol
EnCyzix,enclomifene citrate
Clopidogrel Acino,clopidogrel
Optimark,gadoversetamide
Somatropin Biopartners,somatropin
Adlumiz,anamorelin hydrochloride
Ogivri,
Prevenar,pneumococcal oligosaccharide serotype 18C;Pneumococcal polysaccharide serotype 19F;Pneumococcal polysaccharide serotype 23F;Pneumococcal polysaccharide serotype 4;Pneumococcal polysaccharide serotype 6B;Pneumococcal polysaccharide serotype 9V;Pneumococcal polysaccharide serotype 14
Human IGG1 monoclonal antibody specific for human interleukin-1 alpha XBiotech,human IgG1 monoclonal antibody specific for human interleukin-1 alpha
Plivensia,sirukumab
Kyomarc,bevacizumab
Glybera,alipogene tiparvovec
Clopidogrel Teva Pharma (previously Clopidogrel HCS),clopidogrel (as hydrochloride)
Tigecycline Accord,tigecycline
Cheristin,
NovoNorm,repaglinide
Zontivity,vorapaxar sulfate
Somnena,
Qinprezo,vosaroxin
Elmisol,
Recuvyra,fentanyl
Removab,catumaxomab
Sabervel,irbesartan
Cavoley,pegfilgrastim
Efgratin,pegfilgrastim
Optaflu,"influenza virus surface antigens (haemagglutinin and neuraminidase), inactivated, of the following strains:A/California/7/2009 (H1N1)pdm09 - like strain(A/Brisbane/10/2010, wild type)A/Switzerland/9715293/2013 (H3N2) - like strain(A/South Australia/55/2014, wild type)B/Phuket/3073/2013–like strain(B/Utah/9/2014, wild type)"
Enpaxiq,
Solithromycin Triskel EU Services,solithromycin
Vitekta,elvitegravir
Blectifor,Caffeine citrate
Imprida,valsartan;amlodipine (as amlodipine besilate)
Clopidogrel/Acetylsalicylic acid Teva,clopidogrel;acetylsalicylic acid
Unituxin,Dinutuximab
Dutrebis,lamivudine;raltegravir potassium
Zioxtenzo,pegfilgrastim
Graspa,
Rasilamlo,aliskiren;amlodipine
Alendronic Acid / Colecalciferol Mylan,alendronate sodium trihydrate;colecalciferol
Budesonide/Formoterol Teva,Budesonide;formoterol fumarate dihydrate
Budesonide/Formoterol Teva Pharma B.V.,Budesonide;formoterol
