kwdikos_farmakou,onoma_farmakou,
159889,Витамин В1 Софарма,,
159890,"Витамин В12 Анкерман, Vitamin B12 Ankermann",,
159891,Витамин В12 Софарма,,
159892,Витамин В6 Софарма,,
159893,Витамин В6 Софарма,,
159894,Витамин С Софарма,,
159895,Витоприл,,
159896,Витоприл Плюс,,
159897,Вицетин,,
159898,Вицетин,,
159899,Вишневски N/A,,
159900,Вода За Инжекции Csl Behring,,
159901,Вода За Инжекции Браун,,
159902,Вода За Инжекции Браун,,
159903,Вода За Инжекции Демо,,
159904,Возиберин,,
159905,Возустат,,
159906,Воксабан,,
159907,Воксабан,,
159908,Воксабан,,
159909,Волтарен,,
159910,Волтарен,,
159911,Волтарен,,
159912,Волтарен Емулгел Спорт,,
159913,Волтарен Ретард,,
159914,Волтарен Форте,,
159915,Вомакур,,
159916,Вомитусхил,,
159917,Вомитусхил S,,
159918,Вориконазол Hameln,,
159919,Вориконазол Акорд,,
159920,Вориконазол Акордфарма,,
159921,Вориконазол Ромфарм,,
159922,Вортемиел,,
159923,"Габагамма, Gabagamma",,
159924,Гавискон,,
159925,Гавискон Двойно Действие,,
159926,Гавискон Двойно Действие Горски Плодове,,
159927,Гавискон Двойно Действие Малина,,
159928,Гавискон Мента Ликвид,,
159929,Гавискон Ментови,,
159930,Гавискон Ягода (Gaviscon Strawberry),,
159931,Гадовист,,
159932,Гаксеним,,
159933,Галантамин Дс,,
159934,Галантамин Дс,,
159935,Галсия Sr,,
159936,Ганцикловир Ромфарм,,
159937,Гастритол,,
159938,Гастробене Двойно Действие,,
159939,Гастропротект,,
159940,Гастропротект Рафт,,
159941,Гастроцид,,
159942,Гастроцид Езо,,
159943,Гастроцинезин,,
159944,Гаттарт,,
159945,Геломиртол Форте,,
159946,Гелтим,,
159947,Гелтро,,
159948,Гемсол,,
159949,Гемцитабин Акорд,,
159950,Генералгин,,
159951,Генотропин,,
159952,Гентазон,,
159953,Гентамицин Актавис,,
159954,Гентамицин Вижън Антибиотик-Разград,,
159955,Гентамицин Дс,,
159956,Гентамицин Софарма,,
159957,Гентамицин Софарма,,
159958,Геровит,,
159959,Геродаза,,
159960,Геродорм,,
159961,Героцилан,,
159962,Гиналгин,,
159963,Гино-Певарил,,
159964,Гладиус,,
159965,Гликлада,,
159966,Глимбакс,,
159967,"Глимегамма, Glimegamma",,
159968,Глипвило,,
159969,Глицеракс Пико,,
159970,Глопенел,,
159971,Глофтринид,,
159972,Глузод,,
159973,Глунава,,
159974,Глюkоза+натриев Хлорид Бакстер,,
159975,Глюкаген Хипокит,,
159976,Глюкоза Бакстер,,
159977,Глюкоза Бакстер,,
159978,Глюкоза Браун,,
159979,Глюкоза И Натриев Хлорид София Ад,,
159980,Глюкоза Софарма,,
159981,Глюкоза Софарма,,
159982,Глюкофаж,,
159983,Глюкофаж Xr,,
159984,Гнак,,
159985,Гоптен,,
159986,Гразакс,,
159987,Грандаксин,,
159988,Грануфинк Пикочен Мехур,,
159989,Грануфинк Проста,,
159990,Грануфинк Фемина,,
159991,Гриберо,,
159992,Грип,,
159993,Грипекс,,
159994,Грипекс Дуо,,
159995,Грипекс Макс,,
159996,Грипекс Хот,,
159997,Грипекс Хот За Деца,,
159998,Грипекс Хот Макс,,
159999,Грипекс Хот Синус,,
160000,Грипостад Амбро,,
160001,Грипостад Комлекс,,
160002,Грипофен,,
160003,Гропринозин,,
160004,Гропринозин,,
160005,Грумабикс,,
160006,Гуднес,,
160007,Гуднес,,
160008,Гутрон,,
160009,Дeксаметазон Крка,,
160010,Дабахиб,,
160011,Дабигатран G.L. Pharma,,
160012,Дабигатран Етексилат Viatris,,
160013,Дабигатран Етексилат Полфарма,,
160014,Даверис,,
160015,Даверис-Т,,
160016,Даверцин,,
160017,Даградуо,,
160018,Даграфорс,,
160019,Дазатиниб Зентива,,
160020,Дазатиниб Тева,,
160021,Дайвобет,,
160022,Даксанло,,
160023,Дактакорт,,
160024,Дактарин,,
160025,Далацин C,,
160026,Далерон,,
160027,Далерон Колд3,,
160028,Далзиор,,
160029,Далзиор S Комбо,,
160030,Далмевин,,
160031,Далтекс,,
160032,Дапаглифлозин Полфарма,,
160033,Дапаглифлозин Сандоз,,
160034,Дапаглифлозин/Метформин Полфарма,,
160035,Дапалиф,,
160036,Дапалиф,,
160037,Дапастада,,
160038,Дапастада,,
160039,Даптомицин Mip,,
160040,Дароб,,
160041,Дароксомб,,
160042,Дасергин,,
160043,Дацептон,,
160044,Деавит,,
160045,Деавит Нео,,
160046,Деанксит,,
160047,Деган,,
160048,Деган,,
160049,Декапептил,,
160050,Декапептил Депо,,
160051,Декенор,,
160052,Декенор,,
160053,Деко,,
160054,Декса Вижън,,
160055,Дексаажур,,
160056,Дексаметазон Krka,,
160057,Дексаметазон Абр,,
160058,Дексаметазон Абр,,
160059,Дексаметазон Крка,,
160060,Дексаметазон Софарма,,
160061,Дексаметазон Тева,,
160062,Дексаметазон Фосфат Хамелн,,
160063,Дексамфеникол,,
160064,Дексаполкорт,,
160065,Дексафри,,
160066,Дексинал,,
160067,Дексинал,,
160068,Дексинал,,
160069,Декскетопрофен Ромфарм,,
160070,Декскетопрофен Софарма,,
160071,Дексмедетомидин Калцекс,,
160072,Дексофен,,
160073,Дексофен Инжект,,
160074,Дексофен Саше,,
160075,Декс-Тобрин,,
160076,Делианда,,
160077,Делксора,,
160078,Демефан,,
160079,Дентокаин,,
160080,Дентокаин,,
160081,Депакин,,
160082,Депакин,,
160083,Депакин Хроно,,
160084,Депо-Медрол,,
160085,Дермазин,,
160086,Дермоват,,
160087,Дермодрин,,
160088,Десалерган,,
160089,Десибел,,
160090,Деслоратадин World Medicine Europe,,
160091,Деслоратадин Софарма,,
160092,Деслоратадин Фармдедикт,,
160093,Десферал,,
160094,Детралекс,,
160095,Деферазирокс Тева,,
160096,Деферазирокс Фармасайънс,,
160097,Дефинакс,,
160098,Дефламол,,
160099,Дехидразид,,
160100,Дехидратин Нео,,
160101,Дехидрокортизон,,
160102,Децитабин Ever Pharma,,
160103,Джаз,,
160104,Джакстеран,,
160105,Джамези,,
160106,Джекст,,
160107,Диаб,,
160108,Диаб Mr,,
160109,Диаб Pr,,
160110,Диазепам Актавис,,
160111,Диазепам Софарма,,
160112,Диалгин,,
160113,Диалгин,,
160114,Диалгин,,
160115,Диалгин Джуниор,,
160116,Диалгин Експрес,,
160117,Диалгин За Деца,,
160118,Дианил Pd4 Глюкоза,,
160119,Диапрел,,
160120,Диарид Про,,
160121,Диарил,,
160122,Диаростад,,
160123,Диаспорал Директ,,
160124,Дивлейз,,
160125,Дигоксин Софарма,,
160126,Дигоксин Софарма,,
160127,Дийп Рилийф,,
160128,Диклак,,
160129,Диклак 150 Id,,
160130,Диклак 75 Id,,
160131,Диклак Макс,,
160132,Диклоабак,,
160133,"Диклоневровит, Dicloneurovit",,
160134,Диклопрам,,
160135,Диклорапид,,
160136,Диклофенак Диетиламин Стада,,
160137,Диклофенак Дуо,,
160138,Диклофлекс,,
160139,Диклофлекс,,
160140,Дилатренд,,
160141,Дилокаин,,
160142,Дилтиазем Софарма,,
160143,Димекс,,
160144,Дименхидринат Актавис,,
160145,Диместил,,
160146,Диметилфумарат G.L. Pharma,,
160147,Диметилфумарат Гедеон Рихтер,,
160148,Диметилфумарат Сандоз,,
160149,Диметилфумарат Тева Фарма,,
160150,Димиста,,
160151,Димиста Експрес,,
160152,Димтелзо,,
160153,Димфорда,,
160154,Динарекс,,
160155,Диован,,
160156,Диокет,,
160157,Диостад,,
160158,Диостад,,
160159,Диперам Hct,,
160160,Диперам Sandoz Pharmaceuticals D.D.,,
160161,Дипрогента,,
160162,Дипрозон,,
160163,Дипросалик,,
160164,Дипрофос,,
160165,Диптивил,,
160166,Диптивил Дуо,,
160167,Диронорм,,
160168,Диротон,,
160169,Диротон,,
160170,Дискус,,
160171,Диспорт,,
160172,Дистем,,
160173,Дистрептаза,,
160174,Диурестад,,
160175,Диуретидин,,
160176,Диферелин,,
160177,Диферелин S.R.,,
160178,Дифлазон,,
160179,Дифлазон,,
160180,Дифлукан,,
160181,Дифортан,,
160182,Дифтет,,
160183,Дифтет,,
160184,Дифтеткок Без Кон Серв Ант,,
160185,Дих Макс Film - Coated Tablets,,
160186,Дицинон,,
160187,Дицинон,,
160188,Дк-Бар,,
160189,Добутамин Хамелн,,
160190,Доксазозин/Финастерид Mip,,
160191,Доксазосин Чайкафарма,,
160192,Доксипрокт,,
160193,Доксиум,,
160194,Доксициклин Tzf,,
160195,Доксициклин Абр,,
160196,Доксициклин Актавис,,
160197,Доксициклин Стада,,
160198,Доксорубицин Акорд,,
160199,Долгит Ибу,,
160200,Долоксиб,,
160201,Долопрокт,,
160202,Долорен,,
160203,Дона,,
160204,Донепезил Акорд,,
160205,Донецепт,,
160206,Донопа,,
160207,Допамин Wzf,,
160208,Допегит,,
160209,Допезал,,
160210,Доприлад,,
160211,Дорета,,
160212,Дорзамед,,
160213,Дорзасопт,,
160214,Дормиплант,,
160215,Достинекс,,
160216,Дотаграф,,
160217,Доцетаксел Булгермед,,
160218,Доцетаксел Новамед,,
160219,Дриптан,,
160220,Дро Спаз,,
160221,Дро Спаз,,
160222,Дроплекс,,
160223,Дротаверин Дс,,
160224,Друнилер,,
160225,Друнилер 80 Mg,,
160226,Дуелим,,
160227,Дузофарм,,
160228,Дуксет,,
160229,Дуласолан,,
160230,Дулкамара-Хомакорд,,
160231,Дулколакс,,
160232,Дулколакс,,
160233,Дулколакс Пико,,
160234,Дулодет,,
160235,Дулсевиа,,
160236,Дуодарт,,
160237,Дуодопа,,
160238,Дуокопт,,
160239,Дуосол Без Съдържание На Калий,,
160240,Дуосол Калий,,
160241,Дурацеф,,
160242,Дуспаверин,,
160243,Дуспаталин,,
160244,Дутастерид Акорд,,
160245,Дутрис,,
160246,Дутрозен,,
160247,Дуфалак,,
160248,Дуфастон,,
160249,Дхц Континус,,
160250,Еверио Еармастър,,
160251,Еверолимус Крка,,
160252,Еверолимус Майлан,,
160253,Еверолимус Сандоз,,
160254,Еверолимус Тева,,
160255,Евофекс,,
160256,Егил,,
160257,Егилок,,
160258,Егирамлон,,
160259,Егистрозол,,
160260,Егитромб,,
160261,Еголанза,,
160262,Егоропал,,
160263,Едоксабан G.L. Pharma,,
160264,Едоксабан G.L. Pharma,,
160265,Едоксабел,,
160266,Едронакс,,
160267,Езен,,
160268,Езетимиб Адамед,,
160269,Езетимиб Актавис,,
160270,Езетимиб Нукор,,
160271,Езетрол,,
160272,Езехрон Дуо,,
160273,Езитра,,
160274,Езомепразол Екофарм,,
160275,Езомепразол Полфарма,,
160276,Езомепразол Полфарма,,
160277,Езомепразол Ромфарм,,
160278,Езопраджен,,
160279,Екземегратис,,
160280,Екземестан Акорд,,
160281,Екзодерил,,
160282,Екзодерил,,
160283,Екодорм,,
160284,Екозид Mr,,
160285,Екозид Sr,,
160286,Екосал Инхалер,,
160287,Ексаблок,,
160288,Ексклоза,,
160289,Експекторанс No5,,
160290,Експлемед,,
160291,Екстранил,,
160292,Елакса Пико,,
160293,Елебер,,
160294,Елигард,,
160295,Елидел,,
160296,Елимбус,,
160297,Елитан,,
160298,Елихиб,,
160299,Елицеa,,
160300,Елоком,,
160301,Елтромбопаг Msn,,
160302,Елтромбопаг Pht,,
160303,Елтромбопаг Сандоз,,
160304,Елтромбопаг Тева,,
160305,Елтромбопаг Фармасайънс,,
160306,Еманера,,
160307,Еманера Контрол,,
160308,Ембави,,
160309,Емоклот,,
160310,Емпаглифлозин Полфарма,,
160311,Емпафел,,
160312,Емпафел Мет,,
160313,Емпресин,,
160314,Еналаприл Чайкафарма,,
160315,Енап,,
160316,Енап-Hl,,
160317,Ендоксан,,
160318,Ендоксан,,
160319,Ендора,,
160320,Ендора,,
160321,Ендотелон,,
160322,Ендофалк,,
160323,Енетра,,
160324,Енжерикс B,,
160325,Енжерикс В,,
160326,Ензалутамид Стада,,
160327,Ензалутамид Фармасайънс,,
160328,Енилис,,
160329,Енилис,,
160330,Енкия,,
160331,Енприл,,
160332,Енстилар,,
160333,Енстилум,,
160334,Ентекавир Pharmascience International Ltd,,
160335,Ентекавир Зентива,,
160336,Ентерол,,
160337,Ентерол Изи,,
160338,Ентерол Форте,,
160339,Епидуо,,
160340,Епидуо Форте,,
160341,Епирубицин Ебеве,,
160342,Епирубицин Ебеве,,
160343,Еписиндан,,
160344,Еписиндан,,
160345,Епитрижин,,
160346,Епленокард,,
160347,Еплериум,,
160348,Ептифибатид Ромфарм,,
160349,Ербинол,,
160350,Ербуфо Форспиро,,
160351,Ердомед,,
160352,Ердосек,,
160353,Ерелан,,
160354,Ерибулин Stada Arzneimittel,,
160355,Ерибулин Адвц,,
160356,Ерибулин Зентива,,
160357,Ерибулин Стада,,
160358,Ерлотиниб Актавис,,
160359,Ерлотиниб Крка,,
160360,Ерлотиниб С Сандоз,,
160361,Ерлотиниб Сандоз,,
160362,Еротон,,
160363,Ертапенем Аптафарма,,
160364,Ертос,,
160365,Ерфлузал Форспиро,,
160366,Есберитокс Фемили,,
160367,Есберитокс Форте,,
160368,Есенциале Maкс,,
160369,Есенциале Форте N,,
160370,Ескапеле,,
160371,Еслибон,,
160372,Еслотин,,
160373,Есобел,,
160374,Есогно,,
160375,Еспумизан,,
160376,Еспумизан L,,
160377,Еспумизан Комфорт,,
160378,Еспумизан Форте,,
160379,Естрогел,,
160380,Естрофем,,
160381,Есципрам,,
160382,Есцитазан,,
160383,Есциталопрам Акорд,,
160384,Есциталопрам Гриндекс,,
160385,Есцитил,,
160386,Етамбутол Дс,,
160387,Етанолов Разтвор На Йод Bt,,
160388,Етанолов Разтвор На Йод Купро,,
160389,Етацид,,
160390,Етилов Спирт Bt,,
160391,Етилов Спирт Bt Вета Фарма Ад,,
160392,Етилов Спирт Купро,,
160393,Етилов Спирт Купро,,
160394,Етилов Спирт Купро,,
160395,Етодин Форт,,
160396,Еторикоксиб Тева,,
160397,Етористад,,
160398,Етрузил,,
160399,Еутирокс,,
160400,Еуфорбиум Композитум,,
160401,Еуфорбиум Композитум S,,
160402,Ефедрин Софарма,,
160403,Ефестад,,
160404,Ефигало,,
160405,Ефизол,,
160406,Ефизол Интенз,,
160407,Ефизол Интенз,,
160408,Ефира,,
160409,Ефира,,
160410,Ефира За Деца На Възраст От 6 Месеца До 5 Години,,
160411,Ефлоран,,
160412,Ефлуелда,,
160413,Ефлуелда Тетра,,
160414,Ехинацея Форте Д-Р Тайс,,
160415,Жанги,,
160416,Жанин,,
160417,Желофузин Баланс,,
160418,Животински Епидермални Алергени За Диагностика Бул Био - Нцзпб Еоод,,
160419,Забак,,
160420,Заведос,,
160421,Залаин,,
160422,Залаин,,
160423,Залпам,,
160424,Залпам Плюс,,
160425,Замидин,,
160426,Запринел Плюс,,
160427,Заранта,,
160428,Заранта,,
160429,Зафрила,,
160430,Зевесин,,
160431,Зеглуксен,,
160432,Зеквипра,,
160433,Зелдокс,,
160434,Зенавил,,
160435,Зенаро,,
160436,Зентел,,
160437,Зепилен,,
160438,Зепилен,,
160439,Зеротромб,,
160440,Зетовар,,
160441,Зетовар,,
160442,Зетрум,,
160443,Зефацет,,
160444,Зефацет,,
160445,Зибор,,
160446,Зидимцеф,,
160447,Зикалор,,
160448,Зил Т,,
160449,Зил Т,,
160450,Зил Т,,
160451,Зилар,,
160452,Зилфенан,,
160453,Зинат,,
160454,Зинат,,
160455,Зинерит,,
160456,Зипсила,,
160457,Зипуел,,
160458,Зирид,,
160459,Зиртек,,
160460,Зиртек-D,,
160461,Зифокам,,
160462,Зовиракс,,
160463,Зовиракс Дуо,,
160464,Зодак,,
160465,Зокап,,
160466,Зокор,,
160467,Зоксон,,
160468,Золcaна,,
160469,Золадекс,,
160470,Золадекс Lа,,
160471,Золедронова Киселина Ейсфарма,,
160472,Золедронова Киселина Ромфарм,,
160473,Золибиотик,,
160474,Золофт,,
160475,Золтазен,,
160476,Золтонар,,
160477,Зомту,,
160478,Зондарон,,
160479,Зопиклон-Чеплафарм,,
160480,Зорничка,,
160481,Зофен,,
160482,Зофен Плюс,,
160483,Зофран,,
160484,Зулбекс,,
160485,Ибандронова Киселина Синтон,,
160486,Ибандронова Киселина Стада,,
160487,Иберогаст,,
160488,Иберогаст Баланс,,
160489,Ибудолор Дуо,,
160490,Ибудолор Дуо,,
160491,Ибуксин Дуо,,
160492,Ибулек,,
160493,Ибулек За Деца,,
160494,Ибументол,,
160495,Ибупром За Деца,,
160496,Ибупром Макс,,
160497,Ибупром Настинка И Грип,,
160498,Ибупром Оптима,,
160499,Ибупром Регулар,,
160500,Ибупром Синус,,
160501,Ибупром Синус Макс,,
160502,Ибупром Спринт,,
160503,Ибупром Спринт Макс,,
160504,Ибупрофен Б. Браун,,
160505,Ибупрофен Нутра Есеншъл,,
160506,Ибупрофен Полфа,,
160507,Ибупрофен Стопколд,,
160508,Ибурапид,,
160509,Ибурапид Кидс,,
160510,Ибутоп,,
160511,Ибуфлекс,,
160512,Ибуфлекс Дуо,,
160513,Ивабенор,,
160514,Ивабрадин Viatris,,
160515,Ивермектин,,
160516,Ивитус,,
160517,Идафер,,
160518,Иелмаг3,,
160519,Изовурекс,,
160520,Изодинит,,
160521,Изокор,,
160522,Изокор,,
160523,Изонид,,
160524,Изонид Дансон-Бг,,
160525,Изопринозин,,
160526,Изопринозин Форте,,
160527,Изоптин,,
160528,Изоптин Sr,,
160529,Изорекс,,
160530,Изорекс,,
160531,Изорекс Дуомакс,,
160532,Изосорб,,
160533,Икалзис,,
160534,Иломедин,,
160535,Имана,,
160536,Иматиниб Тева Фарма,,
160537,Имигран,,
160538,Имипенем/Циластатин Аптафарма,,
160539,Имодиум,,
160540,Имодиум Експрес,,
160541,Имодиум Плюс,,
160542,Имомед,,
160543,Импактин Дуо,,
160544,Имунайн,,
160545,Имунейт,,
160546,Имуновенин,,
160547,Имупрет (Imupret),,
160548,Имупрет (Imupret),,
160549,Имуран,,
160550,Индекстол,,
160551,Индипам,,
160552,Индипам Sr,,
160553,Индолен Sr,,
160554,Индометацин Дс,,
160555,Индометацин Софарма,,
160556,Индометацин Софарма,,
160557,Индометацин Софарма,,
160558,Индорин,,
160559,Иневика,,
160560,Инжексат,,
160561,Инконтан,,
160562,Иновирекс,,
160563,Иновирекс,,
160564,Иновирекс,,
160565,Иновирекс Форте,,
160566,Иновокс Експрес С Вкус На Мед И Лимон,,
160567,Иновокс Експрес С Вкус На Мента,,
160568,Иновокс Експрес С Вкус На Портокал,,
160569,Инозипранол,,
160570,Ино-Протект,,
160571,Иноседа,,
160572,Инсуприд,,
160573,Инсутон,,
160574,Инсуфор,,
160575,Инсуфор,,
160576,Интестипрет (Intestipret),,
160577,Интралипид,,
160578,Интратект,,
160579,Инфанрикс-Ipv+hib,,
160580,Инфаресп,,
160581,Инфилеа,,
160582,Инфлувак,,
160583,Инфлувак Тетра,,
160584,Инфлуназал,,
160585,Инфлутусин,,
160586,Инфлуцид,,
160587,Йодадерм Вт,,
160588,Йодасепт,,
160589,Йодасепт,,
160590,Йодопол,,
160591,Йодсептадон,,
160592,Йонистиб,,
160593,Йопамиро,,
160594,Йопамиро,,
160595,Ипертазин,,
160596,Ипигрикс,,
160597,Ипигрикс,,
160598,Ирбесан,,
160599,Ирбесо,,
160600,Иретиг,,
160601,Иринотекан Акорд,,
160602,Иринотекан Булгермед,,
160603,Иринотекан Новамед,,
160604,Ирпрезид,,
160605,Ирпрестан,,
160606,Ирсамла,,
160607,Итраназол Адифарм,,
160608,Кабазитаксел Ever Pharma 10 Mg/Ml Концентрат За Инфузионен Разтвор,,
160609,Кабазитаксел Сандоз,,
160610,Кавинтон,,
160611,Кавинтон,,
160612,Кавинтон Форте,,
160613,Кавицетин,,
160614,Каглуен,,
160615,Кадует,,
160616,Казодекс,,
160617,Кайдаксер,,
160618,Калгевакс,,
160619,Калгел,,
160620,Калдера Spm,,
160621,Калиев Йодид G.L. Pharma,,
160622,Калиев Йодид Serb,,
160623,Калиев Йодид Унимед Фарма,,
160624,Калиев Хлорид Браун,,
160625,Калий Йодидум Рамкофарм,,
160626,Калимин,,
160627,Калинор,,
160628,Калипра,,
160629,Калипсол,,
160630,Калмабен,,
160631,Калменте,,
160632,Калпол,,
160633,Калцивид,,
160634,Калциев Глюконат Xамелн,,
160635,Калциев Глюконат Фармак,,
160636,Калциев Фолинат Алуфарма,,
160637,Калциев Фолинат Сандоз,,
160638,Калциум Глюконикум Софарма,,
160639,Камилия Денто Бейби,,
160640,Камилия Калми Кидс,,
160641,Камилия Колик Бейби,,
160642,Камирен,,
160643,Камирен Xl,,
160644,Камфоров Спирт Купро,,
160645,Кандезек Комби,,
160646,Кандекон,,
160647,Кандесартан Hct Актавис,,
160648,Кандесартан Актавис,,
160649,Кандестар,,
160650,Кандестар Н,,
160651,Кандизол,,
160652,Кандосет,,
160653,Канеспор,,
160654,Канестен,,
160655,Канестен Гин,,
160656,Канефрон (Canephron),,
160657,Канефрон Форте (Canephron Forte),,
160658,Канилад,,
160659,Кантаб,,
160660,Кантаб Плюс,,
160661,Капд/Дпка 17,,
160662,Капд/Дпка 18,,
160663,Капд/Дпка 19,,
160664,Капд/Дпка 2,,
160665,Капд/Дпка 3,,
160666,Капд/Дпка 4,,
160667,Капел Хот,,
160668,Капецитабин Алуфарма,,
160669,Капецитабин Зентива К.С,,
160670,Капидин,,
160671,"Капсамол Долор, Capsamol Dolor",,
160672,Каптоприл Софарма,,
160673,Карбикомби,,
160674,Карбис,,
160675,Карбоплатин Ебеве,,
160676,Карведил,,
160677,Карведилол Софарма,,
160678,Карвилекс,,
160679,Кардатуксан,,
160680,Кардекта,,
160681,Кардиопирин,,
160682,Кардиосалин,,
160683,Кардиосалин Протект,,
160684,Кардиостад,,
160685,Кардиостад Плюс,,
160686,Кардитръст,,
160687,Кардифренд-Ко,,
160688,Кардолакс,,
160689,Кардоритъм,,
160690,Кардура,,
160691,Карзап,,
160692,Карзап H,,
160693,Кармолис,,
160694,Карсил,,
160695,Карсил,,
160696,Карсил,,
160697,Карсил Макс,,
160698,Касарио,,
160699,Касенлакс,,
160700,Каслирол,,
160701,Каспофунгин Ромфарм,,
160702,Кафетин Колд,,
160703,Кафетин Колдмакс,,
160704,Кафетин Менструал,,
160705,Кафетин Ск,,
160706,Кафетин Форте,,
160707,Квамател,,
160708,Квамател,,
160709,Квамател,,
160710,Квентиакс,,
160711,Квентиакс Sr,,
160712,Кветиапин Aкорд,,
160713,Кветиапин Акорд,,
160714,Кеталго,,
160715,Кетоажур,,
160716,Кетозал,,
160717,Кетозин,,
160718,Кетонал,,
160719,Кетонал,,
160720,Кетопрофен Dompé,,
160721,Кетопрофен Абр,,
160722,Кетопрофен Домпе,,
160723,Кетопрофен Софарма,,
160724,Кеторолак Вижън,,
160725,Кетотифен Софарма,,
160726,Кетофлекс,,
160727,Кетофлекс,,
160728,Кефадим,,
160729,Киареста,,
160730,Кивизидиал,,
160731,Кимбек,,
160732,Кимокс,,
160733,Кислородна Вода Вт,,
160734,Клабакс,,
160735,Клариназе,,
160736,Кларискан,,
160737,Кларитин,,
160738,Клацар,,
160739,Клацар Xl,,
160740,Клацид,,
160741,Клацид Sr,,
160742,Клексан,,
160743,Кленбутерол Софарма,,
160744,Клеримед,,
160745,Клертис,,
160746,Клефирем,,
160747,Кливис,,
160748,Климадинон (Klimadynon),,
160749,Клиндавазин B,,
160750,Клиндавазин Д,,
160751,Клиндавазин Дуо,,
160752,Клиндавазин Дуо,,
160753,Клиндамицин Mip,,
160754,Клиндамицин Mip,,
160755,Клиндамицин Xамелн,,
160756,Клиндамицин Абр,,
160757,Клиндамицин Абр Антибиотик-Разград,,
160758,Клобедерм,,
160759,Кловейт,,
160760,Клодифен,,
160761,Клозапин Акорд,,
160762,Клоназепам Tzf,,
160763,Клоназепам Tzf,,
160764,Клонакса,,
160765,Клонарекс,,
160766,Клонарекс,,
160767,Клонарекс,,
160768,Клонатрон,,
160769,Клопаса,,
160770,Клопидогрел ?????,,
160771,Клопидогрел Акорд,,
160772,Клопидогрел Актавис,,
160773,Клопидогрел Екофарм,,
160774,Клопидогрел/Ацетилсалицилова Киселина Msn,,
160775,Клопиксол,,
160776,Клопиксол Депо,,
160777,Клопиксол-Акюфейз,,
160778,Клопинео,,
160779,Клостилбегит,,
160780,Клотинби,,
160781,Клотримазол,,
160782,Клотримазол Gsk,,
160783,Клотримазол Абр,,
160784,Клофарабин Зентива,,
160785,Клувот,,
160786,Клувот,,
160787,Коаксил,,
160788,Ко-Амлеса,,
160789,Ко-Амлеса Нео,,
160790,Ко-Аторис,,
160791,Ко-Валсакор,,
160792,Когавант,,
160793,Ко-Диован,,
160794,Ко-Диротон,,
160795,Ко-Диротон,,
160796,Ко–еналаприл,,
160797,Коензим Композитум,,
160798,Ко-Ирбесо,,
160799,Кокандесарджен,,
160800,Кокулин,,
160801,Колдрекс,,
160802,Колдрекс Джуниър Хот Дринк,,
160803,Колдрекс Макс Плюс Кашлица,,
160804,Колдрекс Максгрип Горски Плодове,,
160805,Колдрекс Максгрип Лимон,,
160806,Колдрекс Плюс Кашлица,,
160807,Колдрекс Хотрем Лимон,,
160808,Ко-Линиприл,,
160809,Ко-Линиприл,,
160810,Колистиметат Натрий Акорд,,
160811,Колистиметат Ромфарм,,
160812,Колистин Tzf,,
160813,Колистин Зентива,,
160814,Колктаб,,
160815,Колхизен,,
160816,Колхицин Екофарм,,
160817,Комбогесик,,
160818,Конверид,,
160819,Конвулекс,,
160820,Конвулекс,,
160821,Конвулекс,,
160822,Конкор,,
160823,Конкор Ам,,
160824,Конкор Кор,,
160825,Коноксия,,
160826,Контамедиа Йох,,
160827,Контрактубекс,,
160828,Контролок,,
160829,Концерта,,
160830,Ко-Олиместра,,
160831,Коолсарт,,
160832,Ко-Паксен,,
160833,Копаксон,,
160834,Копаксон,,
160835,Ко-Питипикс,,
160836,Ко-Пренеса,,
160837,Ко-Пренеса Нео,,
160838,Корвитол,,
160839,Кордакер,,
160840,Кордакер Плюс,,
160841,Кордарон,,
160842,Кордарон,,
160843,Кордафлекс,,
160844,Ко-Ренаприл,,
160845,Ко-Ренитек,,
160846,Коризалия,,
160847,Коризалия Бейби,,
160848,Коринкер,,
160849,Коринфар,,
160850,Кориол,,
160851,Корледин,,
160852,"Кормагнезин 200, Cormagnesin 200",,
160853,Кормагнезин 400,,
160854,"Кормагнезин 400, Cormagnesin 400",,
160855,Корнерегел,,
160856,Короасс,,
160857,Ко-Розвера,,
160858,Кортаметил,,
160859,Кортапред,,
160860,Кортимент,,
160861,Кортинеф,,
160862,Ко-Сартовал,,
160863,Космофер,,
160864,Косопт,,
160865,Косопт Pf,,
160866,Косопт Аймулти,,
160867,Костарокс,,
160868,Кости,,
160869,Ко-Телсарт,,
160870,Ко-Хипертоник,,
160871,Креон,,
160872,Креон,,
160873,Крестор,,
160874,Кринон,,
160875,Крипинео,,
160876,Кристал Вижън,,
160877,Кристал Вижън Комфорт,,
160878,Крицеа,,
160879,Ксабанел,,
160880,Ксабоплакс,,
160881,Ксалаком,,
160882,Ксалатан,,
160883,Ксалерган,,
160884,"Ксалофри 

xalofree",,
160885,Ксалофри Комби,,
160886,Ксанакс,,
160887,Ксанепра,,
160888,Ксанирва,,
160889,Ксенопалан,,
160890,Ксеомин,,
160891,Ксердоксо,,
160892,Ксетанор,,
160893,Ксефо Рапид,,
160894,Ксивозан,,
160895,Ксизал,,
160896,Ксилазол,,
160897,Ксилазол Педиатрик,,
160898,Ксилогел,,
160899,Ксилодекс,,
160900,Ксилодекс Регенерация,,
160901,Ксилометазолин Wzf,,
160902,Ксилорин,,
160903,Ксилтес,,
160904,Ксинос,,
160905,Ксифлодроп,,
160906,Кузимолол,,
160907,Купренил,,
